src_ip,dst_ip,dst_port,duration,n_pkts,n_bytes,pkts_per_sec,syn_ratio,ack_ratio,label
10.0.0.2,10.0.0.1,8080,0.0031974315643310547,6,597,1876.5061516665423,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60270,0.003183603286743164,6,924,1884.6569310267355,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009381771087646484,6,590,6395.380940279542,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60276,0.0009319782257080078,6,924,6437.918649270913,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009663105010986328,6,594,6209.184307920059,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60292,0.0009579658508300781,6,924,6263.271279243405,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0008997917175292969,6,587,6668.20985691574,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60298,0.0008947849273681641,6,924,6705.521982414069,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009784698486328125,6,567,6132.023391812865,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60314,0.0009725093841552734,6,924,6169.606276048051,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009546279907226562,6,600,6285.170829170829,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60320,0.0009481906890869141,6,924,6327.841086245914,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009169578552246094,6,585,6543.375975039002,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60322,0.0009074211120605469,6,924,6612.145034156595,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009567737579345703,6,585,6271.075006229753,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60332,0.0009496212005615234,6,924,6318.308812452925,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009622573852539062,6,584,6235.337958374628,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60348,0.0009543895721435547,6,924,6286.7409442917815,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009586811065673828,6,591,6258.59835861726,0.16666666666666666,0.8333333333333334,normal
